airport_id;icao;airport;city;lat;long;altitude;timezone
AMD;VAAH;Sardar Vallabhbhai Patel International Airport;Ahmedabad;23.07719994;72.63469696;189;5.5
AKD;VAAK;Akola Airport;Akola;20.698999;77.058601;999;5.5
IXU;VAAU;Aurangabad Airport;Aurangabad;19.86269951;75.39810181;1911;5.5
BOM;VABB;Chhatrapati Shivaji International Airport;Mumbai;19.08869934;72.86789703;39;5.5
PAB;VABI;Bilaspur Airport;Bilaspur;21.9884;82.111;899;5.5
BHJ;VABJ;Bhuj Airport;Bhuj;23.28779984;69.67019653;268;5.5
IXG;VABM;Belgaum Airport;Belgaum;15.85929966;74.61830139;2487;5.5
BDQ;VABO;Vadodara Airport;Baroda;22.336201;73.226303;129;5.5
BHO;VABP;Raja Bhoj International Airport;Bhopal;23.28750038;77.33740234;1711;5.5
BHU;VABV;Bhavnagar Airport;Bhaunagar;21.75219917;72.18520355;44;5.5
NMB;VADN;Daman Airport;Daman;20.43440056;72.84320068;33;5.5
GUX;VAGN;Guna Airport;Guna;24.654699;77.347298;1600;5.5
GOI;VAGO;Dabolim Airport;Goa;15.38080025;73.83139801;150;5.5
IDR;VAID;Devi Ahilyabai Holkar Airport;Indore;22.72179985;75.80110168;1850;5.5
JLR;VAJB;Jabalpur Airport;Jabalpur;23.17779922;80.05200195;1624;5.5
JGA;VAJM;Jamnagar Airport;Jamnagar;22.46549988;70.01260376;69;5.5
IXY;VAKE;Kandla Airport;Kandla;23.11269951;70.10030365;96;5.5
HJR;VAKJ;Khajuraho Airport;Khajuraho;24.81719971;79.91860199;728;5.5
KLH;VAKP;Kolhapur Airport;Kolhapur;16.66469955;74.28939819;1996;5.5
IXK;VAKS;Keshod Airport;Keshod;21.31710052;70.270401;167;5.5
NAG;VANP;Dr. Babasaheb Ambedkar International Airport;Nagpur;21.09219933;79.04720306;1033;5.5
ISK;VAOZ;Nashik Airport;Nasik Road;20.119101;73.912903;1900;5.5
PNQ;VAPO;Pune Airport;Pune;18.58209991;73.91970062;1942;5.5
PBD;VAPR;Porbandar Airport;Porbandar;21.64870071;69.65720367;23;5.5
RAJ;VARK;Rajkot Airport;Rajkot;22.30920029;70.77950287;441;5.5
RPR;VARP;Raipur Airport;Raipur;21.180401;81.7388;1041;5.5
SSE;VASL;Solapur Airport;Sholapur;17.62800026;75.93479919;1584;5.5
STV;VASU;Surat Airport;Surat;21.1140995;72.7417984;16;5.5
UDR;VAUD;Maharana Pratap Airport;Udaipur;24.61770058;73.89610291;1684;5.5
IXV;VEAN;Along Airport;Along;28.1753006;94.80200195;900;5.5
IXA;VEAT;Agartala Airport;Agartala;23.88699913;91.24040222;46;5.5
AJL;VELP;Lengpui Airport;Aizwal;23.84059906;92.61969757;1398;5.5
IXB;VEBD;Bagdogra Airport;Baghdogra;26.68120003;88.32859802;412;5.5
BBI;VEBS;Biju Patnaik Airport;Bhubaneswar;20.24440002;85.81780243;138;5.5
CCU;VECC;Netaji Subhash Chandra Bose International Airport;Kolkata;22.65469933;88.44670105;16;5.5
